,Price,Image URLs,Model,Year,City,year,car_type,engine_size,gear,mileage,other_details
0,950000,"['https://kolesa-photos.kcdn.online/webp/13/1335fb04-47d1-458a-a2fc-9bf674cf108b/1-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/13/1335fb04-47d1-458a-a2fc-9bf674cf108b/3-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/13/1335fb04-47d1-458a-a2fc-9bf674cf108b/4-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/13/1335fb04-47d1-458a-a2fc-9bf674cf108b/2-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/13/1335fb04-47d1-458a-a2fc-9bf674cf108b/5-160x120.jpg']",Mercedes-Benz 190,1993,Шиели,1993 г.,Б/у седан,2 л,КПП механика,111,"бензин, черный, металлик, Обмен бар"
1,2800000,"['https://kolesa-photos.kcdn.online/webp/e5/e5c28761-c2e7-4981-bf05-9bfeec5ad65c/1-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/e5/e5c28761-c2e7-4981-bf05-9bfeec5ad65c/4-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/e5/e5c28761-c2e7-4981-bf05-9bfeec5ad65c/2-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/e5/e5c28761-c2e7-4981-bf05-9bfeec5ad65c/3-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/e5/e5c28761-c2e7-4981-bf05-9bfeec5ad65c/5-160x120.jpg']",Mercedes-Benz E 230,1997,Караганда,1997 г.,Б/у универсал,2.3 л,КПП механика,,"бензин, металлик, литые диски, тонировка, люк, обвес, велюр, дерево, ауди..."
2,24500000,"['https://kolesa-photos.kcdn.online/webp/03/03844c6e-c8b2-4d55-934b-9bf8e54ae2e4/1-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/03/03844c6e-c8b2-4d55-934b-9bf8e54ae2e4/4-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/03/03844c6e-c8b2-4d55-934b-9bf8e54ae2e4/2-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/03/03844c6e-c8b2-4d55-934b-9bf8e54ae2e4/3-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/03/03844c6e-c8b2-4d55-934b-9bf8e54ae2e4/6-160x120.jpg']",Mercedes-Benz G 55 AMG,2010,Алматы,2010 г.,Б/у внедорожник,5.5 л,КПП автомат,,"бензин, черный, металлик, ксенон, биксенон, хрустальная оптика, линзован..."
3,8500000,"['https://kolesa-photos.kcdn.online/webp/ef/ef8b72b1-ec4f-4b0c-a680-9bf491ffee44/26-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/ef/ef8b72b1-ec4f-4b0c-a680-9bf491ffee44/27-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/ef/ef8b72b1-ec4f-4b0c-a680-9bf491ffee44/29-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/ef/ef8b72b1-ec4f-4b0c-a680-9bf491ffee44/28-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/ef/ef8b72b1-ec4f-4b0c-a680-9bf491ffee44/30-160x120.jpg']",Mercedes-Benz S 500,2007,Алматы,2007 г.,Б/у седан,5.5 л,КПП автомат,217 000,"бензин, серебристый, металлик, литые диски, тонировка, ..."
4,8000000,"['https://kolesa-photos.kcdn.online/webp/3f/3fef9120-3e2c-45b2-8fea-9bec6b24ae44/4-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/3f/3fef9120-3e2c-45b2-8fea-9bec6b24ae44/1-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/3f/3fef9120-3e2c-45b2-8fea-9bec6b24ae44/2-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/3f/3fef9120-3e2c-45b2-8fea-9bec6b24ae44/3-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/3f/3fef9120-3e2c-45b2-8fea-9bec6b24ae44/8-160x120.jpg']",Mercedes-Benz ML 350,2010,Жанаозен,2010 г.,Б/у внедорожник,3.5 л,КПП автомат,295 000,"бензин, серый, металлик, литые диски, тонировка, ..."
5,20000000,"['https://kolesa-photos.kcdn.online/webp/47/47b3b544-ee64-40d7-b9bf-9bf4e5bd9a50/15-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/47/47b3b544-ee64-40d7-b9bf-9bf4e5bd9a50/13-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/47/47b3b544-ee64-40d7-b9bf-9bf4e5bd9a50/14-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/47/47b3b544-ee64-40d7-b9bf-9bf4e5bd9a50/16-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/47/47b3b544-ee64-40d7-b9bf-9bf4e5bd9a50/2-160x120.jpg']",Mercedes-Benz CLA 200,2020,Алматы,2020 г.,Б/у седан,1.3 л,КПП робот,,"бензин, черный, AMG пакет, вся в родной краске, все стекла родные, в отличном со..."
6,3800000,"['https://kolesa-photos.kcdn.online/webp/4b/4bd8da16-ef42-4235-90a8-9bdda62d1395/10-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/4b/4bd8da16-ef42-4235-90a8-9bdda62d1395/11-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/4b/4bd8da16-ef42-4235-90a8-9bdda62d1395/13-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/4b/4bd8da16-ef42-4235-90a8-9bdda62d1395/14-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/4b/4bd8da16-ef42-4235-90a8-9bdda62d1395/12-160x120.jpg']",Mercedes-Benz E 280,1998,Шымкент,1998 г.,Б/у седан,2.8 л,КПП автомат,222 222,"бензин, фиолетовый, металлик, литые диски, ксенон, бикс..."
7,7900000,"['https://kolesa-photos.kcdn.online/webp/e0/e0b7e584-7b19-46eb-83ec-c09506a1dbd4/1-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/e0/e0b7e584-7b19-46eb-83ec-c09506a1dbd4/2-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/e0/e0b7e584-7b19-46eb-83ec-c09506a1dbd4/3-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/e0/e0b7e584-7b19-46eb-83ec-c09506a1dbd4/4-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/e0/e0b7e584-7b19-46eb-83ec-c09506a1dbd4/5-160x120.jpg']",Mercedes-Benz ML 350,2009,Алматы,2009 г.,Б/у внедорожник,3 л,КПП автомат,255 000,"дизель, бордовый, литые диски, тонировка, ксенон, о..."
8,4000000,"['https://kolesa-photos.kcdn.online/webp/01/016dbd6b-df1e-4dbe-8c04-9be0914ba444/1-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/01/016dbd6b-df1e-4dbe-8c04-9be0914ba444/3-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/01/016dbd6b-df1e-4dbe-8c04-9be0914ba444/2-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/01/016dbd6b-df1e-4dbe-8c04-9be0914ba444/4-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/01/016dbd6b-df1e-4dbe-8c04-9be0914ba444/5-160x120.jpg']",Mercedes-Benz S 500,2002,Алматы,2002 г.,Б/у седан,5 л,КПП автомат,230 000,"бензин, черный, металлик, литые диски, тонировка, люк, кс..."
9,2500000,"['https://kolesa-photos.kcdn.online/webp/67/67c5d06c-8613-4403-a573-9bfeecd65075/1-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/67/67c5d06c-8613-4403-a573-9bfeecd65075/2-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/67/67c5d06c-8613-4403-a573-9bfeecd65075/3-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/67/67c5d06c-8613-4403-a573-9bfeecd65075/4-160x120.jpg', 'https://kolesa-photos.kcdn.online/webp/67/67c5d06c-8613-4403-a573-9bfeecd65075/5-160x120.jpg']",Mercedes-Benz E 230,1992,Алматы,1992 г.,Б/у седан,2.3 л,КПП автомат,,"бензин, черный, металлик, литые диски, тонировка, люк, дневные ходовые огни, п..."
