
Mercedes-Benz Group AG (Xetra) Date,Open,High,Low,Close
04/01/2010,31.26,31.56,31.03,31.52
05/01/2010,31.48,31.53,30.95,31.26
06/01/2010,31.22,31.34,30.74,31.27
07/01/2010,30.94,31.02,30.52,30.83
08/01/2010,30.99,31.19,30.42,31.01
11/01/2010,31.22,31.62,31.10,31.23
12/01/2010,31.35,31.40,30.36,30.46
13/01/2010,30.22,30.55,29.89,30.38
14/01/2010,30.73,31.23,30.61,31.15
15/01/2010,31.06,31.28,30.49,30.63
18/01/2010,30.70,31.27,30.43,31.16
19/01/2010,30.77,30.95,30.00,30.82
20/01/2010,30.60,30.66,29.66,29.88
21/01/2010,30.14,30.36,29.12,29.18
22/01/2010,28.88,29.10,27.93,28.69
25/01/2010,28.17,28.61,27.88,28.12
26/01/2010,27.83,28.50,27.45,28.43
27/01/2010,28.09,28.19,27.37,27.64
28/01/2010,28.14,28.38,27.13,27.13
29/01/2010,27.58,28.52,27.45,28.06
01/02/2010,27.70,28.33,27.67,28.18
02/02/2010,28.14,28.44,27.64,28.35
03/02/2010,28.51,29.34,28.45,28.83
04/02/2010,28.96,29.12,27.71,27.79
05/02/2010,27.96,27.96,26.87,27.13
08/02/2010,27.53,28.16,27.36,27.96
09/02/2010,28.18,28.41,27.69,27.98
10/02/2010,28.06,28.63,27.99,28.23
11/02/2010,28.43,28.46,27.08,27.51
12/02/2010,27.64,27.88,26.65,27.25
15/02/2010,27.33,27.80,26.76,26.87
16/02/2010,27.07,27.44,26.71,27.38
17/02/2010,27.79,28.10,27.62,27.74
18/02/2010,27.74,28.00,25.12,26.44
19/02/2010,26.19,27.13,25.94,27.12
22/02/2010,27.37,27.38,26.33,26.36
23/02/2010,26.60,26.78,26.02,26.23
24/02/2010,26.40,26.44,25.55,25.98
25/02/2010,25.81,26.22,25.27,25.48
26/02/2010,25.65,26.10,25.40,25.74
01/03/2010,26.15,26.48,25.80,26.31
02/03/2010,26.36,26.91,26.23,26.66
03/03/2010,26.43,27.07,26.37,26.82
04/03/2010,26.65,27.11,26.50,26.79
05/03/2010,26.87,27.79,26.87,27.69
08/03/2010,27.68,27.87,27.48,27.71
09/03/2010,27.62,27.69,27.07,27.51
10/03/2010,27.56,27.93,27.35,27.80
11/03/2010,27.61,28.17,27.60,27.86
12/03/2010,27.87,28.20,27.73,28.15
15/03/2010,28.25,28.40,27.96,27.98
16/03/2010,28.21,28.77,28.14,28.64
17/03/2010,28.96,29.05,28.48,28.84
18/03/2010,28.84,29.20,28.69,29.08
19/03/2010,29.05,29.29,28.77,28.86
22/03/2010,28.71,29.01,28.48,28.88
23/03/2010,28.95,29.17,28.63,28.92
24/03/2010,29.00,29.08,28.36,28.95
25/03/2010,29.07,29.54,28.96,29.40
26/03/2010,29.26,29.67,29.20,29.37
29/03/2010,29.61,29.82,29.26,29.34
30/03/2010,29.62,29.68,28.83,29.01
31/03/2010,29.16,29.38,28.90,29.26
01/04/2010,29.45,29.79,29.43,29.72
06/04/2010,29.82,30.09,29.60,29.81
07/04/2010,29.88,30.10,29.62,29.74
08/04/2010,29.63,29.68,29.21,29.53
09/04/2010,29.80,29.96,29.47,29.68
12/04/2010,29.95,30.00,29.46,29.73
13/04/2010,29.74,30.26,29.37,30.22
14/04/2010,30.43,30.85,30.22,30.78
15/04/2010,30.89,30.98,30.38,30.82
16/04/2010,30.84,31.38,30.47,30.68
19/04/2010,30.63,30.86,30.32,30.48
20/04/2010,32.57,32.94,32.30,32.74
21/04/2010,32.79,32.99,32.22,32.28
22/04/2010,32.29,32.71,31.67,31.78
23/04/2010,32.08,32.83,31.75,32.63
26/04/2010,32.96,33.18,32.53,33.14
27/04/2010,32.96,33.50,31.84,31.84
28/04/2010,31.83,32.05,30.91,31.70
29/04/2010,31.78,32.74,31.63,32.57
30/04/2010,32.57,32.99,32.21,32.59
03/05/2010,32.16,32.60,31.96,32.42
04/05/2010,32.63,32.64,31.06,31.37
05/05/2010,31.67,31.67,30.73,31.08
06/05/2010,30.93,31.68,30.75,31.00
07/05/2010,30.43,31.03,29.63,30.10
10/05/2010,30.85,31.91,30.75,31.91
11/05/2010,31.34,32.52,31.20,32.45
12/05/2010,32.19,33.72,31.96,33.40
13/05/2010,33.75,34.88,33.60,34.73
14/05/2010,34.42,34.74,33.70,34.06
17/05/2010,33.76,34.87,33.59,34.49
18/05/2010,34.69,35.19,34.31,35.19
19/05/2010,34.76,35.13,33.45,33.75
20/05/2010,34.08,34.12,31.37,32.24
21/05/2010,32.03,32.70,31.15,32.60
24/05/2010,32.74,32.85,31.38,32.31
25/05/2010,31.28,31.53,30.78,31.22
26/05/2010,31.48,32.63,31.48,32.10
27/05/2010,32.40,33.73,32.40,33.53
28/05/2010,34.04,34.15,33.54,33.83
31/05/2010,33.87,34.48,33.84,34.42
01/06/2010,34.21,34.78,33.60,34.41
02/06/2010,34.00,34.41,33.56,34.23
03/06/2010,35.05,35.25,34.52,34.64
04/06/2010,34.88,34.97,33.47,33.90
07/06/2010,33.28,34.09,33.20,33.65
08/06/2010,33.71,33.92,33.14,33.78
09/06/2010,34.08,35.30,33.90,35.21
10/06/2010,35.02,36.72,34.96,36.31
11/06/2010,36.47,36.84,35.38,35.88
14/06/2010,36.27,36.40,35.57,35.70
15/06/2010,35.26,35.92,35.02,35.54
16/06/2010,35.64,35.76,34.23,34.54
17/06/2010,34.42,35.63,34.37,35.52
18/06/2010,35.66,36.43,35.55,36.20
21/06/2010,37.00,37.61,36.96,37.36
22/06/2010,37.06,37.35,36.72,37.33
23/06/2010,36.87,37.48,36.76,36.90
24/06/2010,37.35,37.52,36.31,36.46
25/06/2010,36.08,36.08,35.04,35.27
28/06/2010,35.38,36.40,35.14,36.30
29/06/2010,35.68,35.86,34.48,34.65
30/06/2010,34.94,35.67,34.69,35.19
01/07/2010,34.81,35.11,33.73,33.93
02/07/2010,34.34,34.83,33.73,33.82
05/07/2010,34.05,34.29,33.54,33.54
06/07/2010,33.71,35.22,33.71,34.60
07/07/2010,34.42,35.25,34.05,35.21
08/07/2010,35.27,35.54,34.54,34.91
09/07/2010,35.09,35.24,34.73,34.95
12/07/2010,35.09,35.22,34.74,34.89
13/07/2010,34.76,36.77,34.76,36.77
14/07/2010,36.97,37.34,36.15,36.56
15/07/2010,36.49,37.24,35.95,36.33
16/07/2010,36.43,37.53,36.04,36.14
19/07/2010,36.14,36.29,35.43,35.79
20/07/2010,35.80,35.99,34.67,34.77
21/07/2010,34.95,35.30,34.18,34.38
22/07/2010,34.24,35.69,34.21,35.48
23/07/2010,35.28,35.95,35.04,35.67
26/07/2010,35.88,36.25,35.56,36.23
27/07/2010,36.25,36.42,34.26,34.70
28/07/2010,35.18,35.24,34.65,34.81
29/07/2010,34.92,35.35,34.53,34.78
30/07/2010,34.68,34.98,34.25,34.73
02/08/2010,34.54,34.91,34.12,34.76
03/08/2010,34.70,35.35,34.70,35.26
04/08/2010,35.18,35.34,34.82,34.99
05/08/2010,34.95,35.63,34.89,35.36
06/08/2010,35.62,35.89,34.29,34.39
09/08/2010,34.86,35.25,34.50,35.23
10/08/2010,35.08,35.08,34.29,34.61
11/08/2010,34.30,34.39,33.51,33.74
12/08/2010,33.59,33.92,32.35,32.80
13/08/2010,33.14,33.50,32.65,32.86
16/08/2010,33.08,33.70,32.93,33.54
17/08/2010,33.79,34.51,33.69,34.46
18/08/2010,34.31,34.50,34.00,34.10
19/08/2010,34.39,34.61,33.29,33.48
20/08/2010,33.33,33.54,32.82,32.93
23/08/2010,32.89,33.19,32.66,32.87
24/08/2010,32.69,32.78,32.04,32.46
25/08/2010,32.28,32.59,31.60,32.15
26/08/2010,32.32,32.43,31.78,31.97
27/08/2010,31.89,32.24,31.57,32.24
30/08/2010,32.36,32.59,31.71,32.01
31/08/2010,31.48,32.20,31.08,32.20
01/09/2010,32.32,33.99,32.15,33.96
02/09/2010,33.83,34.77,33.76,34.42
03/09/2010,34.47,35.46,34.37,34.97
06/09/2010,35.03,35.14,34.48,34.63
07/09/2010,34.41,34.72,34.13,34.72
08/09/2010,34.63,35.31,34.52,35.26
09/09/2010,35.25,36.22,35.09,36.17
10/09/2010,36.10,36.95,35.98,36.75
13/09/2010,37.20,37.48,36.65,36.66
14/09/2010,36.58,37.11,36.56,37.06
15/09/2010,37.01,37.35,36.89,37.04
16/09/2010,36.69,37.13,36.62,36.98
17/09/2010,37.19,37.56,36.61,37.34
20/09/2010,37.34,38.20,37.23,38.20
21/09/2010,38.09,38.53,38.00,38.31
22/09/2010,37.78,37.94,37.13,37.65
23/09/2010,37.64,37.89,36.76,37.23
24/09/2010,37.00,38.76,36.94,38.73
27/09/2010,38.72,39.19,38.49,38.96
28/09/2010,38.83,39.15,38.24,38.81
29/09/2010,38.94,39.33,38.62,38.85
30/09/2010,38.60,39.95,38.51,39.00
01/10/2010,38.89,39.34,37.87,38.21
04/10/2010,37.94,37.94,36.65,36.76
05/10/2010,36.72,37.68,36.59,37.52
06/10/2010,37.82,37.94,36.97,37.14
07/10/2010,37.36,38.18,37.10,38.09
08/10/2010,37.95,38.29,37.46,38.14
11/10/2010,38.32,38.87,38.16,38.55
12/10/2010,38.63,40.07,38.33,39.81
13/10/2010,40.13,40.47,39.64,40.24
14/10/2010,40.30,40.33,39.60,39.79
15/10/2010,39.88,40.41,39.61,40.07
18/10/2010,39.99,40.38,39.65,40.11
19/10/2010,39.88,40.13,39.34,39.49
20/10/2010,39.29,40.21,39.25,40.13
21/10/2010,40.01,41.24,40.01,41.16
22/10/2010,41.11,41.56,40.83,41.39
25/10/2010,41.72,42.02,41.45,41.72
26/10/2010,41.32,41.61,40.55,40.92
27/10/2010,40.63,41.24,39.90,39.98
28/10/2010,40.38,41.18,39.24,39.44
29/10/2010,39.26,40.07,38.91,39.82
01/11/2010,40.38,40.61,39.74,40.01
02/11/2010,39.81,40.82,39.65,40.64
03/11/2010,40.72,41.26,40.38,40.58
04/11/2010,41.22,42.09,40.97,41.98
05/11/2010,42.04,42.35,41.01,41.09
08/11/2010,41.20,41.22,40.73,41.08
09/11/2010,40.90,42.21,40.85,42.01
10/11/2010,41.77,41.90,40.88,41.28
11/11/2010,41.61,41.77,41.12,41.61
12/11/2010,40.80,42.17,40.23,41.87
15/11/2010,41.35,43.15,41.35,42.72
16/11/2010,42.39,42.76,41.53,41.53
17/11/2010,41.52,41.72,41.12,41.36
18/11/2010,42.01,42.78,41.81,42.66
19/11/2010,42.71,42.81,42.13,42.60
22/11/2010,42.81,43.31,42.24,42.45
23/11/2010,42.11,43.03,41.56,41.57
24/11/2010,42.08,43.69,41.75,43.69
25/11/2010,43.65,44.18,43.25,43.60
26/11/2010,43.21,43.60,42.52,43.27
29/11/2010,43.60,43.70,41.80,41.80
30/11/2010,41.98,42.76,41.14,41.87
01/12/2010,42.40,43.62,42.05,43.60
02/12/2010,43.91,45.03,43.55,44.90
03/12/2010,44.49,45.99,44.22,45.29
06/12/2010,45.29,45.48,44.83,45.01
07/12/2010,45.06,45.64,44.17,45.46
08/12/2010,45.20,45.39,44.47,44.71
09/12/2010,45.21,45.45,43.78,44.75
10/12/2010,44.95,46.11,44.79,46.06
13/12/2010,46.17,46.17,45.69,45.97
14/12/2010,45.75,46.07,45.10,45.43
15/12/2010,45.17,45.50,44.64,45.25
16/12/2010,45.09,45.82,45.09,45.68
17/12/2010,45.39,45.74,44.97,45.06
20/12/2010,45.23,45.75,45.13,45.23
21/12/2010,45.35,46.12,45.29,45.89
22/12/2010,45.92,46.21,45.61,45.61
23/12/2010,45.58,45.77,45.37,45.39
27/12/2010,44.75,44.87,43.06,43.29
28/12/2010,43.38,43.52,42.83,43.23
29/12/2010,43.23,43.34,43.01,43.08
30/12/2010,43.23,43.40,42.49,42.59
03/01/2011,42.73,43.69,42.60,43.41
04/01/2011,43.44,43.95,42.83,43.65
05/01/2011,43.33,45.35,43.09,45.00
06/01/2011,44.91,46.53,44.77,45.84
